parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
kPhRbD		lin	9.20E-27	9.22E-27	9.21E-27	0
kPhRbE		lin	1.15E-26	1.15E-26	1.15E-26	0
kDpRb		lin	1.38E-03	1.39E-03	0.001386001	0
kPhRb		lin	3.45E-26	3.45E-26	3.45E-26	0
kSyCe1		lin	8.34E+18	8.36E+18	8.35E+18	0
kSyCe2		lin	4.15E+00	4.16E+00	4.1580042	0
kDeCe		lin	1.38E-04	1.39E-04	0.0001386	0
kDiE2fRb		lin	3.46E-04	3.47E-04	0.0003465	0
kAsE2fRb		lin	5.74E-25	5.76E-25	5.75E-25	0
kSyE2f1		lin	4.17E+18	4.17E+18	4.17E+18	0
kSyE2f2		lin	6.92E-01	6.94E-01	0.69300069	0
kDeE2f1		lin	6.92E-05	6.94E-05	6.93E-05	0
kDeE2f2		lin	1.38E-03	1.39E-03	0.001386001	0
kPhE2f		lin	2.30E-27	2.30E-27	2.30E-27	0
kDpE2f2		lin	1.15E-25	1.15E-25	1.15E-25	0
kSyEmi1		lin	2.09E+19	2.09E+19	2.09E+19	0
kSyEmi2		lin	3.46E+00	3.47E+00	3.4650035	0
kDeEmi1		lin	3.46E-04	3.47E-04	0.0003465	0
kDeEmi2		lin	3.46E-04	3.47E-04	0.0003465	0
kDeEmi3		lin	3.46E-03	3.47E-03	0.003465004	0
kPhEmiA		lin	5.74E-29	5.76E-29	5.75E-29	0
kPhEmiB		lin	2.88E-28	2.88E-28	2.88E-28	0
kDpEmi		lin	3.47E-06	3.47E-06	3.47E-06	0
kSyCa1		lin	4.17E+18	4.17E+18	4.17E+18	0
kSyCa2		lin	5.19E-01	5.20E-01	0.51975052	0
kDeCa1		lin	6.92E-06	6.94E-06	6.93E-06	0
kDeCa2		lin	4.60E-27	4.60E-27	4.60E-27	0
kDeCa3		lin	1.15E-27	1.15E-27	1.15E-27	0
kDpCdh		lin	3.46E-03	3.47E-03	0.003465004	0
kPhCdhA		lin	2.88E-26	2.88E-26	2.88E-26	0
kPhCdhE		lin	1.15E-27	1.15E-27	1.15E-27	0
kPhCdhB		lin	2.88E-25	2.88E-25	2.88E-25	0
kDiACE		lin	3.46E-04	3.47E-04	0.0003465	0
kAsACE		lin	5.74E-25	5.76E-25	5.75E-25	0
kDiACdh		lin	3.46E-04	3.47E-04	0.0003465	0
kAsACdh		lin	5.74E-25	5.76E-25	5.75E-25	0
kPhCeA		lin	1.15E-26	1.15E-26	1.15E-26	0
kPhCeE		lin	1.15E-28	1.15E-28	1.15E-28	0
kPhFoxE		lin	1.15E-27	1.15E-27	1.15E-27	0
kPhFoxA		lin	1.15E-27	1.15E-27	1.15E-27	0
kPhFoxB		lin	5.74E-27	5.76E-27	5.75E-27	0
kDpFox		lin	3.47E-05	3.47E-05	3.47E-05	0
kSyCb1		lin	4.17E+18	4.17E+18	4.17E+18	0
kSyCb2		lin	5.19E-01	5.20E-01	0.51975052	0
kDeCb1		lin	6.92E-06	6.94E-06	6.93E-06	0
kDeCb2		lin	1.44E-27	1.44E-27	1.44E-27	0
kDeCb3		lin	1.44E-27	1.44E-27	1.44E-27	0
kPhEnsa		lin	1.15E-27	1.15E-27	1.15E-27	0
kDpEnsa		lin	3.46E-04	3.47E-04	0.0003465	0
kPhGw		lin	1.15E-26	1.15E-26	1.15E-26	0
kDpGw1		lin	1.73E-03	1.73E-03	0.001732502	0
kDpGw2		lin	1.15E-25	1.15E-25	1.15E-25	0
kWee1		lin	6.92E-05	6.94E-05	6.93E-05	0
kWee2		lin	6.92E-03	6.94E-03	0.006930007	0
kPhWeeA		lin	1.15E-27	1.15E-27	1.15E-27	0
kPhWeeB		lin	1.15E-26	1.15E-26	1.15E-26	0
kDpWee		lin	1.15E-25	1.15E-25	1.15E-25	0
kCdc25_1		lin	1.15E-27	1.15E-27	1.15E-27	0
kCdc25_2		lin	1.15E-26	1.15E-26	1.15E-26	0
kDpCdc25		lin	1.15E-25	1.15E-25	1.15E-25	0
kDipEB55		lin	4.71E-05	4.71E-05	4.71E-05	0
kAspEB55		lin	6.55E-25	6.57E-25	6.56E-25	0
kSyCdc_1		lin	4.17E+18	4.17E+18	4.17E+18	0
kSyCdc_2		lin	6.92E-01	6.94E-01	0.69300069	0
kDeCdc_1		lin	2.77E-05	2.77E-05	2.77E-05	0
kDeCdc_2		lin	4.60E-28	4.60E-28	4.60E-28	0
kDipACdc		lin	8.65E-04	8.67E-04	0.000866251	0
kAspACdc		lin	1.15E-26	1.15E-26	1.15E-26	0
kPhApcA		lin	1.15E-28	1.15E-28	1.15E-28	0
kDpApc		lin	5.74E-26	5.76E-26	5.75E-26	0
kSyFox1		lin	4.17E+18	4.17E+18	4.17E+18	0
kSyFox2		lin	5.19E-01	5.20E-01	0.51975052	0
kDeFox1		lin	6.92E-06	6.94E-06	6.93E-06	0
kDeFox2		lin	5.74E-27	5.76E-27	5.75E-27	0
kAsEPx		lin	5.74E-25	5.76E-25	5.75E-25	0
kDiEPx		lin	3.46E-02	3.47E-02	0.034650035	0
kAsFPcb		lin	5.74E-25	5.76E-25	5.75E-25	0
kDiFPcb		lin	6.92E-02	6.94E-02	0.069300069	0
kAsFPcdc		lin	5.74E-25	5.76E-25	5.75E-25	0
kDiFPcdc		lin	1.73E-01	1.73E-01	0.17325017	0
kPhC25B		lin	1.15E-26	1.15E-26	1.15E-26	0
kPhCAEE		lin	9.20E-28	9.22E-28	9.21E-28	0
kPhCAEA		lin	2.30E-26	2.30E-26	2.30E-26	0
kPhCAEB		lin	2.30E-25	2.30E-25	2.30E-25	0
ikSyCb		lin	9.99E-01	1.00E+00	1.00E+00	0
jiWee		lin	6.01E+22	6.03E+22	6.02E+22	0
kDpE2f1		lin	0.00E+00	0.00E+00	0	0
kPhC25A		lin	0.00E+00	0.00E+00	0	0
