parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
kPhRbD		lin	9.21E-28	9.21E-26	9.21E-27	1
kPhRbE		lin	1.15E-27	1.15E-25	1.15E-26	1
kDpRb		lin	1.39E-04	1.39E-02	0.001386001	1
kPhRb		lin	3.45E-27	3.45E-25	3.45E-26	1
kSyCe1		lin	8.35E+17	8.35E+19	8.35E+18	1
kSyCe2		lin	4.16E-01	4.16E+01	4.1580042	1
kDeCe		lin	1.39E-05	1.39E-03	0.0001386	1
kDiE2fRb		lin	3.47E-05	3.47E-03	0.0003465	1
kAsE2fRb		lin	5.75E-26	5.75E-24	5.75E-25	1
kSyE2f1		lin	4.17E+17	4.17E+19	4.17E+18	1
kSyE2f2		lin	6.93E-02	6.93E+00	0.69300069	1
kDeE2f1		lin	6.93E-06	6.93E-04	6.93E-05	1
kDeE2f2		lin	1.39E-04	1.39E-02	0.001386001	1
kPhE2f		lin	2.30E-28	2.30E-26	2.30E-27	1
kDpE2f2		lin	1.15E-26	1.15E-24	1.15E-25	1
kSyEmi1		lin	2.09E+18	2.09E+20	2.09E+19	1
kSyEmi2		lin	3.47E-01	3.47E+01	3.4650035	1
kDeEmi1		lin	3.47E-05	3.47E-03	0.0003465	1
kDeEmi2		lin	3.47E-05	3.47E-03	0.0003465	1
kDeEmi3		lin	3.47E-04	3.47E-02	0.003465004	1
kPhEmiA		lin	5.75E-30	5.75E-28	5.75E-29	1
kPhEmiB		lin	2.88E-29	2.88E-27	2.88E-28	1
kDpEmi		lin	3.47E-07	3.47E-05	3.47E-06	1
kSyCa1		lin	4.17E+17	4.17E+19	4.17E+18	1
kSyCa2		lin	5.20E-02	5.20E+00	0.51975052	1
kDeCa1		lin	6.93E-07	6.93E-05	6.93E-06	1
kDeCa2		lin	4.60E-28	4.60E-26	4.60E-27	1
kDeCa3		lin	1.15E-28	1.15E-26	1.15E-27	1
kDpCdh		lin	3.47E-04	3.47E-02	0.003465004	1
kPhCdhA		lin	2.88E-27	2.88E-25	2.88E-26	1
kPhCdhE		lin	1.15E-28	1.15E-26	1.15E-27	1
kPhCdhB		lin	2.88E-26	2.88E-24	2.88E-25	1
kDiACE		lin	3.47E-05	3.47E-03	0.0003465	1
kAsACE		lin	5.75E-26	5.75E-24	5.75E-25	1
kDiACdh		lin	3.47E-05	3.47E-03	0.0003465	1
kAsACdh		lin	5.75E-26	5.75E-24	5.75E-25	1
kPhCeA		lin	1.15E-27	1.15E-25	1.15E-26	1
kPhCeE		lin	1.15E-29	1.15E-27	1.15E-28	1
